application_id,candidate_id,job_id,channel,application_date,resume_score
365549,71134,8488,Indeed,2019-01-15 00:05:30,17.01
137444,5093,8185,Indeed,2019-01-15 00:21:09,97.53
85632,84014,5554,Naukri,2019-01-15 00:32:24,87.66
51497,41953,708,LinkedIn,2019-01-15 00:51:23,55.0
230820,69791,8146,Indeed,2019-01-15 01:00:55,12.92
83411,31311,202,LinkedIn,2019-01-15 01:06:35,1.41
162513,13336,7010,Referral,2019-01-15 01:13:17,5.3
43169,14103,350,LinkedIn,2019-01-15 01:44:04,95.79
13473,97359,1230,LinkedIn,2019-01-15 01:47:27,86.84
294784,83213,7159,LinkedIn,2019-01-15 01:54:01,66.77
193026,47331,3155,LinkedIn,2019-01-15 01:57:21,66.44
27976,95901,2456,Naukri,2019-01-15 02:06:40,87.74
162994,18408,9325,LinkedIn,2019-01-15 02:08:59,22.25
224483,12026,4124,Naukri,2019-01-15 02:27:14,54.93
366902,75617,1763,Indeed,2019-01-15 02:40:37,87.54
5215,36776,5594,Naukri,2019-01-15 02:51:52,23.96
151090,93076,3586,LinkedIn,2019-01-15 02:59:18,43.36
202979,81161,3907,Naukri,2019-01-15 03:26:39,95.13
125648,19287,4990,Referral,2019-01-15 03:27:15,37.17
219993,33780,3499,LinkedIn,2019-01-15 03:33:25,66.25
64765,37620,8469,LinkedIn,2019-01-15 03:43:03,63.26
139031,43304,6169,LinkedIn,2019-01-15 03:49:04,55.63
234141,49898,9981,LinkedIn,2019-01-15 04:10:24,39.29
263371,57060,2382,Indeed,2019-01-15 04:11:19,59.94
276023,13206,3366,LinkedIn,2019-01-15 04:13:26,63.12
54366,28211,7270,Indeed,2019-01-15 04:17:41,39.27
70940,59664,717,Referral,2019-01-15 04:21:06,42.75
103941,71456,1475,Agency,2019-01-15 04:22:45,41.93
112224,8948,5830,LinkedIn,2019-01-15 04:52:42,60.9
372929,10182,3906,Indeed,2019-01-15 05:24:09,0.53
296482,33255,7478,LinkedIn,2019-01-15 05:34:39,28.12
330542,41755,5955,Naukri,2019-01-15 05:47:53,30.61
368191,95496,5587,Naukri,2019-01-15 05:51:15,67.99
167015,44957,3114,Indeed,2019-01-15 06:00:13,17.31
144843,4388,2992,Company Site,2019-01-15 06:15:54,84.98
146482,96217,9368,Indeed,2019-01-15 06:19:21,4.68
