employee_id,attrition_date,reason,rejoin_eligibility
39374,2021-10-16 05:48:27,Personal,0
3551,2020-11-10 22:50:17,Performance,0
20487,2022-01-02 21:00:37,Performance,0
15179,2020-09-02 18:48:23,Better Offer,0
8865,2024-06-06 14:46:07,Better Offer,0
15271,2022-03-15 07:21:26,Relocation,0
11144,2020-02-27 18:43:25,Relocation,0
15845,2021-05-15 09:55:48,Personal,0
22196,2020-05-02 07:18:41,Better Offer,1
16593,2020-10-21 14:31:39,Performance,1
24451,2022-06-26 06:38:03,Higher Studies,1
22410,2020-04-29 03:42:42,Better Offer,1
20309,2023-12-18 21:19:37,Relocation,0
33629,2025-10-13 10:56:09,Better Offer,0
4272,2021-07-14 18:13:30,Better Offer,0
19826,2020-04-24 08:03:06,Better Offer,0
41877,2022-09-02 16:20:33,Relocation,0
29127,2024-05-28 03:59:56,Higher Studies,0
28364,2024-01-08 12:09:29,Better Offer,0
25192,2021-03-24 23:29:15,Performance,0
19064,2021-09-19 18:13:20,Better Offer,0
36114,2020-09-12 14:21:05,Personal,0
38058,2024-08-27 05:27:31,Better Offer,0
28003,2020-05-29 19:55:18,Performance,0
16357,2022-05-16 23:35:51,Performance,0
726,2021-05-05 10:25:40,Personal,1
33606,2025-01-23 03:22:37,Better Offer,0
42150,2023-06-02 13:39:15,Better Offer,0
35133,2021-09-12 21:11:54,Better Offer,0
7408,2020-10-05 09:58:08,Personal,0
35871,2025-10-06 13:31:00,Performance,1
26764,2024-09-06 13:02:41,Performance,0
7841,2025-04-25 19:57:20,Health,0
17676,2023-06-11 05:07:43,Personal,1
15366,2025-10-29 08:53:37,Performance,1
29417,2021-11-23 19:52:45,Personal,1
11005,2020-01-19 01:25:48,Better Offer,1
15299,2020-10-18 15:37:38,Personal,0
6742,2021-10-20 04:10:12,Performance,0
21547,2020-06-30 14:20:31,Performance,0
2403,2023-05-08 16:49:22,Performance,1
27486,2023-12-30 04:54:16,Health,0
27380,2022-09-04 00:01:55,Personal,0
6215,2022-07-27 15:46:45,Performance,0
31002,2021-06-05 07:23:13,Relocation,0
10551,2022-03-24 07:42:20,Performance,1
32185,2019-09-19 01:43:22,Higher Studies,0
9605,2022-05-28 00:32:27,Health,1
40475,2024-02-01 00:33:31,Better Offer,1
23976,2023-04-10 18:01:23,Higher Studies,0
29011,2022-12-20 00:15:48,Better Offer,0
21023,2020-07-17 10:17:39,Health,0
17162,2024-12-01 00:51:10,Performance,0
2503,2023-03-06 04:35:19,Relocation,1
12967,2022-10-02 03:07:58,Better Offer,0
2601,2024-05-04 20:28:28,Better Offer,0
12784,2022-12-21 18:46:13,Better Offer,1
13191,2020-07-19 22:23:15,Higher Studies,0
28083,2024-12-25 13:25:31,Higher Studies,0
15657,2021-10-21 23:19:23,Better Offer,0
21408,2020-02-20 22:15:28,Better Offer,1
11766,2025-07-28 10:02:19,Better Offer,1
15808,2020-12-26 22:28:01,Performance,1
3264,2025-04-01 08:48:24,Better Offer,0
22870,2021-08-30 00:02:45,Better Offer,0
7392,2023-07-26 21:04:41,Health,1
21052,2021-12-25 02:02:56,Personal,1
6914,2024-02-21 02:11:32,Performance,0
15028,2024-06-14 09:38:21,Performance,0
21923,2025-01-25 21:15:55,Performance,0
2096,2024-04-05 14:58:38,Better Offer,0
34279,2020-03-18 09:23:56,Health,0
25489,2024-05-24 10:57:16,Better Offer,0
27677,2022-03-08 00:17:46,Better Offer,0
16868,2021-07-06 19:31:44,Personal,1
29307,2025-05-01 10:44:13,Better Offer,0
20945,2020-07-30 13:44:52,Better Offer,0
37534,2025-02-26 20:15:12,Better Offer,1
11118,2019-08-31 20:32:41,Personal,0
37165,2022-10-27 00:17:21,Higher Studies,0
25375,2022-08-17 00:56:22,Better Offer,0
28671,2021-08-12 05:28:18,Relocation,1
23562,2021-02-26 21:04:26,Better Offer,0
3164,2021-03-20 11:27:24,Better Offer,1
19208,2024-07-25 17:51:45,Higher Studies,1
7887,2020-01-10 05:56:40,Better Offer,0
14960,2024-01-22 19:19:22,Health,0
903,2022-05-12 04:17:57,Personal,0
15527,2019-07-25 02:33:06,Personal,0
1809,2021-04-26 04:10:46,Better Offer,0
31622,2025-03-10 19:46:37,Better Offer,0
16075,2022-09-03 07:24:29,Better Offer,0
29383,2020-07-27 02:53:06,Health,0
41902,2021-02-13 01:44:31,Performance,0
38960,2022-12-09 21:53:35,Performance,1
33418,2021-11-24 09:30:03,Higher Studies,0
19747,2025-07-31 14:11:15,Better Offer,0
8177,2022-04-10 14:52:09,Performance,0
29982,2024-07-13 05:29:18,Performance,0
43023,2023-05-24 00:47:18,Higher Studies,0
10047,2023-08-09 02:36:42,Better Offer,1
18863,2024-01-31 02:16:10,Better Offer,0
36137,2025-09-02 21:33:47,Performance,0
22411,2024-11-04 13:37:34,Higher Studies,0
20358,2024-01-15 08:59:24,Performance,0
8857,2023-06-13 23:30:12,Health,1
37323,2022-04-18 03:59:48,Better Offer,1
37774,2024-04-06 11:30:18,Performance,0
16102,2020-08-30 09:18:08,Better Offer,0
37000,2020-10-30 22:18:41,Better Offer,0
31051,2020-05-04 17:16:04,Performance,0
25521,2019-11-12 00:36:24,Higher Studies,0
3850,2024-09-25 04:33:46,Better Offer,0
36091,2024-09-30 01:02:07,Performance,0
32706,2023-08-09 00:57:19,Performance,0
2072,2024-12-27 21:55:30,Better Offer,1
13966,2024-04-18 07:48:59,Better Offer,0
8221,2022-09-02 05:12:20,Better Offer,0
5699,2024-08-14 15:28:19,Better Offer,0
6012,2024-05-10 15:03:08,Better Offer,0
19973,2025-02-21 05:26:37,Relocation,0
27220,2020-06-04 16:28:51,Better Offer,0
31783,2024-12-24 18:11:11,Personal,0
11251,2021-06-18 06:00:50,Better Offer,0
39917,2020-03-23 09:11:39,Better Offer,1
16344,2023-11-23 01:03:01,Better Offer,1
25512,2020-12-27 02:56:49,Better Offer,0
11039,2021-02-26 16:08:47,Relocation,0
23757,2021-11-25 07:47:29,Personal,0
17610,2022-08-16 19:15:59,Performance,0
30774,2025-08-26 20:31:12,Better Offer,0
11216,2022-11-14 03:41:38,Health,0
34240,2019-08-12 08:14:54,Better Offer,0
2129,2022-08-02 03:50:02,Better Offer,0
18686,2020-11-18 04:11:18,Better Offer,0
10711,2021-09-07 11:33:31,Better Offer,0
619,2020-09-05 16:56:20,Performance,0
33926,2022-03-25 04:03:27,Better Offer,0
20628,2021-07-05 03:29:49,Health,0
15368,2020-05-05 08:04:21,Performance,0
10038,2024-02-14 13:27:27,Better Offer,0
33822,2022-02-08 07:16:50,Better Offer,0
38648,2023-04-27 18:05:34,Better Offer,1
25570,2022-02-19 16:34:35,Personal,1
38241,2022-11-07 10:04:01,Performance,0
25080,2019-08-29 19:06:41,Better Offer,0
23880,2021-12-18 14:48:05,Relocation,0
19456,2024-04-01 03:26:45,Personal,1
3707,2024-02-16 03:38:48,Performance,0
32475,2020-01-06 07:46:28,Performance,0
13967,2022-05-17 08:31:30,Personal,0
16448,2020-10-28 04:13:08,Better Offer,0
27738,2023-05-04 23:09:29,Performance,0
26661,2020-06-02 09:19:20,Personal,0
26256,2025-01-18 15:44:18,Personal,0
16287,2021-05-16 10:19:11,Better Offer,0
35099,2020-05-06 04:10:23,Better Offer,0
25515,2019-10-21 11:45:20,Personal,0
35268,2020-06-19 07:45:22,Personal,0
13188,2023-04-30 15:29:21,Better Offer,0
19190,2023-08-29 07:01:50,Better Offer,0
24298,2025-07-09 18:25:18,Personal,0
259,2021-02-18 05:27:26,Better Offer,0
2360,2022-05-19 15:04:26,Personal,0
26744,2023-09-12 19:00:52,Performance,0
8441,2021-09-20 12:36:12,Performance,0
15263,2021-07-18 02:06:57,Better Offer,0
39987,2024-08-04 23:39:21,Performance,1
16412,2024-11-12 20:00:34,Relocation,0
31670,2023-10-17 07:56:35,Health,0
40296,2023-04-14 11:03:52,Higher Studies,0
26482,2020-01-06 07:47:27,Better Offer,1
12406,2019-12-14 06:52:11,Relocation,0
34454,2024-06-25 10:46:41,Higher Studies,0
18341,2020-05-13 05:47:35,Better Offer,0
15350,2024-12-05 12:12:13,Relocation,0
7435,2024-01-01 19:45:21,Performance,1
4937,2025-03-10 23:28:05,Better Offer,0
1357,2021-06-10 03:37:15,Higher Studies,0
20929,2024-12-20 12:33:13,Personal,0
2504,2025-01-06 02:08:18,Better Offer,1
32113,2019-10-27 07:29:49,Performance,0
1208,2024-12-28 09:03:01,Better Offer,0
36526,2023-01-11 16:06:01,Better Offer,0
17804,2025-06-08 15:54:02,Better Offer,1
19684,2023-04-25 21:23:09,Better Offer,1
17914,2023-01-05 01:28:05,Better Offer,0
29674,2024-06-30 00:09:51,Personal,0
16096,2023-06-23 14:20:59,Personal,0
26972,2022-11-20 13:24:20,Relocation,1
13799,2023-08-04 20:04:06,Better Offer,0
1151,2020-07-14 11:51:11,Relocation,0
18477,2020-07-19 13:22:56,Performance,0
32978,2021-04-15 08:48:20,Relocation,0
39174,2022-09-26 03:36:35,Better Offer,1
36679,2021-04-29 00:25:08,Better Offer,0
13491,2023-07-28 09:08:09,Better Offer,1
8833,2022-06-27 23:52:47,Better Offer,1
15532,2019-09-23 09:38:09,Relocation,1
31360,2024-01-30 17:09:07,Better Offer,0
21125,2024-06-02 21:07:17,Relocation,0
18604,2022-02-24 00:40:52,Better Offer,0
14810,2024-11-22 17:35:18,Better Offer,0
1951,2021-11-16 18:12:50,Personal,0
34399,2025-05-05 12:53:18,Better Offer,0
12172,2022-12-09 14:19:34,Higher Studies,0
10299,2023-01-11 15:55:53,Performance,1
41253,2021-02-13 17:07:58,Relocation,1
30088,2022-03-28 05:45:54,Better Offer,0
35574,2022-01-27 01:06:29,Health,0
28091,2023-10-26 08:58:12,Better Offer,0
26295,2021-11-19 20:30:51,Better Offer,0
42397,2020-06-20 16:11:08,Relocation,0
31402,2021-11-29 17:03:28,Better Offer,0
21470,2022-10-26 05:46:29,Better Offer,0
35900,2020-12-02 00:19:44,Personal,0
26220,2022-04-14 03:52:39,Better Offer,1
2822,2025-04-03 17:20:15,Higher Studies,1
31313,2019-10-15 17:27:57,Performance,0
32487,2025-09-21 14:53:22,Better Offer,0
25068,2020-08-25 19:31:43,Better Offer,0
34337,2022-09-30 09:00:18,Performance,1
21014,2021-03-12 18:57:08,Relocation,1
69,2023-06-17 09:23:49,Better Offer,0
11183,2020-05-29 20:44:30,Personal,1
13715,2022-11-01 13:13:53,Higher Studies,1
13691,2019-11-15 04:43:24,Personal,0
36908,2023-09-21 20:39:01,Personal,0
18212,2022-09-05 10:30:51,Better Offer,0
753,2025-07-06 19:46:54,Better Offer,0
33363,2020-07-08 18:22:53,Better Offer,0
19393,2021-03-11 09:40:29,Better Offer,0
41923,2022-01-15 22:17:46,Performance,0
23935,2022-06-03 07:57:24,Personal,0
6779,2025-10-15 14:43:54,Performance,1
41951,2022-05-12 06:18:33,Better Offer,0
28652,2021-03-21 09:03:38,Better Offer,0
10121,2025-01-13 15:34:21,Relocation,0
6622,2020-02-14 03:50:49,Better Offer,0
12996,2023-09-24 21:21:50,Better Offer,1
34338,2022-02-16 23:41:30,Better Offer,0
23367,2025-09-21 02:11:06,Higher Studies,0
25091,2023-10-16 20:31:27,Health,0
19943,2025-08-20 12:21:05,Personal,1
35968,2019-10-18 21:41:41,Better Offer,0
2642,2020-02-29 22:31:24,Better Offer,1
21721,2024-05-11 17:55:55,Higher Studies,0
5417,2020-06-11 13:06:47,Better Offer,1
14367,2021-03-18 13:46:50,Better Offer,0
26966,2021-11-19 05:36:19,Relocation,0
31085,2020-05-29 16:59:15,Performance,0
41023,2021-05-16 15:07:25,Better Offer,1
29605,2021-10-17 20:59:44,Better Offer,0
11142,2025-01-30 16:05:02,Performance,0
13672,2020-06-09 12:36:29,Better Offer,0
17616,2020-03-27 04:02:12,Performance,0
39992,2022-12-18 08:32:58,Personal,0
9259,2023-10-08 18:00:41,Better Offer,0
12147,2025-06-15 00:42:50,Performance,0
42639,2021-01-27 22:16:54,Better Offer,0
16576,2024-11-28 03:14:58,Performance,0
17167,2025-04-28 21:51:53,Higher Studies,0
41648,2025-08-09 19:45:28,Relocation,0
26579,2021-02-05 17:45:50,Better Offer,0
9976,2023-12-31 20:02:21,Better Offer,0
42690,2023-01-14 01:55:16,Personal,0
35,2020-07-20 04:02:58,Performance,1
15031,2023-06-26 11:10:18,Better Offer,0
22319,2024-05-15 00:22:49,Health,1
33044,2023-04-20 09:11:09,Performance,0
21030,2024-09-23 02:53:54,Better Offer,0
5413,2022-11-21 09:32:47,Better Offer,1
20423,2020-05-03 23:02:14,Higher Studies,1
41556,2022-12-04 14:00:39,Health,1
2814,2021-04-22 08:16:35,Better Offer,0
22495,2021-08-22 14:27:10,Relocation,1
33431,2021-07-08 15:25:22,Performance,0
17405,2024-10-22 20:37:23,Better Offer,0
12327,2020-11-15 23:01:32,Better Offer,0
19682,2024-11-04 10:39:46,Better Offer,1
446,2020-06-05 01:22:22,Personal,0
21877,2020-04-21 12:31:07,Performance,0
14275,2023-05-18 11:11:07,Performance,0
43113,2021-08-25 21:23:39,Better Offer,0
13448,2024-01-19 02:42:29,Personal,0
34844,2023-06-11 07:54:58,Personal,0
14361,2019-07-31 09:52:14,Better Offer,1
35852,2021-11-09 15:20:29,Better Offer,0
25433,2024-06-04 13:23:43,Personal,0
812,2024-10-27 02:03:45,Relocation,0
42602,2020-12-25 19:21:32,Performance,0
9347,2023-08-03 18:37:37,Better Offer,1
30003,2022-08-31 17:44:44,Personal,0
