candidate_id,skill
1,LangChain
1,Tableau
1,NumPy
1,Model Monitoring
1,Scala
1,Java
2,Computer Vision
2,Linux
2,Scikit-learn
3,XGBoost
3,Streamlit
3,LLM
3,Java
4,ETL
4,MLOps
4,LLM
4,Python
4,Snowflake
5,R
5,Spark
5,Model Monitoring
5,TensorFlow
5,MLOps
6,ETL
6,Linux
6,Databricks
6,Pandas
7,Spark
7,Linux
7,Computer Vision
7,Docker
7,Feature Engineering
8,Redshift
8,Databricks
8,Streamlit
8,A/B Testing
9,RAG
9,TensorFlow
9,NoSQL
9,PowerBI
9,DAX
10,RAG
10,Excel
10,Hadoop
10,Spark
10,Databricks
11,PyTorch
11,LangChain
11,Time Series
12,MLOps
12,NLP
12,Pandas
12,Computer Vision
12,RAG
12,NoSQL
13,LightGBM
13,Spark
13,Excel
14,Excel
14,Azure
14,Reinforcement Learning
14,SHAP
14,Git
15,Reinforcement Learning
15,PowerBI
15,MLOps
15,Data Warehousing
15,LLM
15,Snowflake
16,PowerBI
16,Pandas
16,TensorFlow
16,Computer Vision
17,Databricks
17,NoSQL
17,Streamlit
17,Git
17,LLM
17,PowerBI
18,Kubernetes
18,A/B Testing
18,DAX
18,Linux
19,GCP
19,ETL
19,Time Series
19,Git
19,AWS
20,PowerBI
20,Azure
20,Airflow
20,NumPy
20,GCP
20,Pandas
21,Databricks
21,LightGBM
21,Redshift
21,Scala
21,Tableau
21,Snowflake
22,AWS
22,Looker
22,LightGBM
22,DAX
23,AWS
23,Statistics
23,Snowflake
24,PyTorch
24,C++
24,SQL
24,Spark
24,TensorFlow
24,Looker
25,MLOps
25,PyTorch
25,NumPy
25,Hadoop
26,NLP
26,LightGBM
26,R
26,MLOps
26,Git
27,Reinforcement Learning
27,Linux
27,RAG
27,Streamlit
28,LightGBM
28,SHAP
28,LangChain
29,Reinforcement Learning
29,Pandas
29,NoSQL
29,PowerBI
29,Statistics
30,Redshift
30,LLM
30,Reinforcement Learning
30,ETL
30,Java
31,SHAP
31,Excel
31,LightGBM
31,PyTorch
31,PowerBI
32,A/B Testing
32,Streamlit
32,AWS
32,Snowflake
32,Statistics
33,MLOps
33,Streamlit
33,RAG
33,Excel
34,C++
34,Spark
34,Time Series
34,SHAP
35,Pandas
35,Tableau
35,A/B Testing
35,Scikit-learn
36,LangChain
36,Looker
36,SQL
36,NLP
36,AWS
36,Python
37,MLOps
37,Snowflake
37,LightGBM
37,LangChain
37,C++
37,Streamlit
38,TensorFlow
38,Streamlit
38,Feature Engineering
38,RAG
38,Python
39,Java
39,SQL
39,RAG
39,Reinforcement Learning
39,AWS
40,NLP
40,DAX
40,Scikit-learn
40,RAG
40,NoSQL
41,Streamlit
41,Model Monitoring
41,SHAP
41,Pandas
41,Kubernetes
42,PyTorch
42,Snowflake
42,TensorFlow
42,Computer Vision
43,Streamlit
43,AWS
43,DAX
44,SHAP
44,Python
44,NLP
44,Airflow
44,LangChain
44,Linux
45,Redshift
45,Data Warehousing
45,Databricks
45,NoSQL
46,NLP
46,Git
46,Databricks
46,Feature Engineering
46,Hadoop
46,Linux
47,A/B Testing
47,PyTorch
47,Computer Vision
47,Kubernetes
47,XGBoost
47,Statistics
48,MLOps
48,Model Monitoring
48,Scikit-learn
48,Tableau
48,Hadoop
49,Computer Vision
49,NLP
49,Scala
50,PyTorch
50,XGBoost
50,Computer Vision
50,Snowflake
50,RAG
51,LightGBM
51,Data Warehousing
51,ETL
51,Azure
51,R
52,Tableau
52,Scikit-learn
52,Redshift
52,GCP
52,LangChain
52,SHAP
53,GCP
53,A/B Testing
53,Linux
53,Airflow
53,LLM
54,SHAP
54,MLOps
54,Spark
54,XGBoost
55,Spark
55,Data Warehousing
55,Reinforcement Learning
55,Tableau
55,LangChain
56,LightGBM
56,Snowflake
56,PowerBI
57,RAG
57,PyTorch
57,Linux
57,A/B Testing
58,XGBoost
58,A/B Testing
58,Linux
58,Model Monitoring
59,Model Monitoring
59,Snowflake
59,TensorFlow
59,Hadoop
60,NLP
60,SHAP
60,Kubernetes
60,Snowflake
60,Statistics
60,Java
61,Scala
61,Pandas
61,Feature Engineering
61,ETL
62,A/B Testing
62,NumPy
62,LLM
62,Azure
62,TensorFlow
63,Spark
63,Kubernetes
63,LangChain
64,MLOps
64,Redshift
64,NoSQL
64,LangChain
64,Azure
65,Git
65,A/B Testing
65,Model Monitoring
65,MLOps
66,Airflow
66,PowerBI
66,SQL
67,Linux
67,Airflow
67,XGBoost
67,PyTorch
68,Tableau
68,MLOps
68,RAG
69,Statistics
69,RAG
69,DAX
69,LightGBM
69,R
69,Azure
70,NoSQL
70,R
70,Looker
70,Data Warehousing
71,MLOps
71,Git
71,NoSQL
72,Docker
72,Model Monitoring
72,Statistics
72,DAX
72,Databricks
73,Excel
73,LangChain
73,Feature Engineering
73,A/B Testing
73,Scikit-learn
74,Snowflake
74,AWS
74,A/B Testing
74,Git
74,TensorFlow
75,Model Monitoring
75,Snowflake
75,SHAP
75,LightGBM
75,Pandas
76,Kubernetes
76,AWS
76,Feature Engineering
76,Redshift
76,Hadoop
77,Docker
77,Azure
77,Time Series
77,A/B Testing
77,Hadoop
78,Reinforcement Learning
78,TensorFlow
78,Data Warehousing
79,SQL
79,Pandas
79,Looker
79,XGBoost
79,DAX
80,Java
80,Kubernetes
80,GCP
80,Data Warehousing
81,XGBoost
81,ETL
81,A/B Testing
81,Java
81,GCP
81,Data Warehousing
82,Databricks
82,PyTorch
82,Streamlit
83,SHAP
83,SQL
83,Snowflake
83,Data Warehousing
84,Databricks
84,Kubernetes
84,Scala
84,AWS
85,Statistics
85,Excel
85,Linux
85,TensorFlow
85,SHAP
86,Linux
86,Computer Vision
86,Model Monitoring
86,XGBoost
86,Hadoop
87,Looker
87,Scikit-learn
87,LightGBM
87,SHAP
87,Snowflake
88,Airflow
88,DAX
88,Docker
88,AWS
88,Linux
89,Spark
89,Redshift
89,NoSQL
90,TensorFlow
90,Scikit-learn
90,A/B Testing
90,Model Monitoring
91,A/B Testing
91,SQL
91,Reinforcement Learning
91,Feature Engineering
91,NLP
91,Spark
92,ETL
92,Airflow
92,TensorFlow
92,Tableau
92,DAX
93,Computer Vision
93,DAX
93,Scikit-learn
93,PyTorch
93,Scala
94,Model Monitoring
94,XGBoost
94,Docker
95,Hadoop
95,Excel
95,R
95,PyTorch
96,NumPy
96,ETL
96,MLOps
97,Feature Engineering
97,Redshift
97,LLM
98,Pandas
98,Statistics
98,Airflow
98,MLOps
98,Computer Vision
99,AWS
99,Azure
99,Computer Vision
99,Spark
99,Pandas
100,Scikit-learn
100,Streamlit
100,Tableau
101,Git
101,Pandas
101,GCP
101,Streamlit
101,Spark
102,DAX
102,C++
102,NoSQL
102,Git
102,Airflow
103,XGBoost
103,Git
103,LangChain
103,Snowflake
104,Redshift
104,Git
104,RAG
105,Snowflake
105,Streamlit
105,TensorFlow
105,Git
105,A/B Testing
106,Airflow
106,LangChain
106,LLM
106,GCP
106,Databricks
107,Docker
107,Azure
107,Kubernetes
107,NumPy
107,PowerBI
108,Airflow
108,ETL
108,Azure
108,Databricks
108,LLM
109,Redshift
109,Java
109,ETL
109,AWS
110,Data Warehousing
110,Excel
110,Databricks
110,NumPy
110,A/B Testing
111,Spark
111,NoSQL
111,LangChain
111,LightGBM
111,ETL
112,Pandas
112,Kubernetes
112,Looker
112,LLM
112,Model Monitoring
113,LangChain
113,DAX
113,SHAP
113,NumPy
113,PyTorch
114,XGBoost
114,SHAP
114,Docker
114,Tableau
114,LangChain
115,Streamlit
115,Looker
115,NoSQL
115,MLOps
115,Time Series
115,AWS
116,Linux
116,Scala
116,NLP
116,SHAP
116,Tableau
116,Streamlit
117,AWS
117,TensorFlow
117,XGBoost
117,Pandas
117,NumPy
117,Snowflake
118,Python
118,Hadoop
118,PyTorch
118,Spark
119,GCP
119,Data Warehousing
119,TensorFlow
119,Redshift
119,DAX
120,Model Monitoring
120,NoSQL
120,LLM
120,Tableau
120,LightGBM
120,Java
121,Feature Engineering
121,LightGBM
121,PostgreSQL
121,SQL
121,Kubernetes
122,NoSQL
122,Databricks
122,Pandas
122,XGBoost
122,Feature Engineering
123,LangChain
123,R
123,AWS
123,Data Warehousing
124,C++
124,Java
124,Linux
124,Data Warehousing
125,Statistics
125,Azure
125,GCP
125,Airflow
126,Pandas
126,LightGBM
126,LangChain
127,Pandas
127,PyTorch
127,Git
127,ETL
127,RAG
127,Databricks
128,GCP
128,LightGBM
128,MLOps
129,R
129,Looker
129,LangChain
129,Airflow
129,Docker
130,Looker
130,Git
130,Time Series
130,DAX
130,NumPy
130,PyTorch
131,Data Warehousing
131,ETL
131,R
132,Excel
132,RAG
132,Git
133,Scala
133,PyTorch
133,SQL
133,XGBoost
133,Java
133,Time Series
134,Git
134,TensorFlow
134,R
134,Java
134,Data Warehousing
134,Reinforcement Learning
135,Airflow
135,Hadoop
135,MLOps
136,Excel
136,Looker
136,PostgreSQL
136,Git
137,ETL
137,AWS
137,RAG
137,Snowflake
138,Python
138,GCP
138,Feature Engineering
139,Time Series
139,PyTorch
139,R
139,Scala
139,Excel
140,NLP
140,PostgreSQL
140,Reinforcement Learning
140,Pandas
140,Time Series
141,Databricks
141,Pandas
141,Linux
141,SHAP
142,C++
142,R
142,Data Warehousing
142,A/B Testing
142,Docker
143,RAG
143,A/B Testing
143,Data Warehousing
144,NLP
144,Model Monitoring
144,SHAP
144,Time Series
145,Model Monitoring
145,Pandas
145,C++
146,Spark
146,Looker
146,Scala
146,TensorFlow
146,Azure
147,Tableau
147,Streamlit
147,PostgreSQL
147,R
147,NoSQL
148,Python
148,Azure
148,Tableau
149,PostgreSQL
149,NumPy
149,Airflow
149,MLOps
150,AWS
150,Streamlit
150,Time Series
150,LLM
150,NoSQL
150,Kubernetes
151,Pandas
151,Docker
151,C++
151,Java
151,Data Warehousing
152,Tableau
152,Databricks
152,DAX
152,Feature Engineering
152,Time Series
153,Data Warehousing
153,Linux
153,PostgreSQL
153,Airflow
154,PowerBI
154,DAX
154,Pandas
154,Tableau
154,Model Monitoring
155,NoSQL
155,Looker
155,Hadoop
155,Streamlit
155,Snowflake
155,Data Warehousing
156,NumPy
156,Hadoop
156,SHAP
156,GCP
156,AWS
157,NLP
157,Scikit-learn
157,XGBoost
157,LightGBM
157,Git
158,NLP
158,Scikit-learn
158,Java
158,Streamlit
158,Looker
158,Airflow
159,Spark
159,Docker
159,Scala
159,Python
159,ETL
159,PowerBI
160,PowerBI
160,PostgreSQL
160,PyTorch
160,Excel
160,Databricks
161,Scala
161,R
161,Reinforcement Learning
161,Data Warehousing
161,C++
162,LLM
162,Linux
162,DAX
162,GCP
162,AWS
162,RAG
163,Kubernetes
163,Statistics
163,SQL
164,SQL
164,Python
164,Looker
164,AWS
164,NoSQL
165,C++
165,Python
165,NLP
166,Snowflake
166,Excel
166,Computer Vision
167,Hadoop
167,Git
167,TensorFlow
167,Scala
168,R
168,Feature Engineering
168,ETL
168,Docker
169,GCP
169,LLM
169,Java
170,Python
170,Statistics
170,RAG
170,Looker
171,Airflow
171,PyTorch
171,NumPy
171,SQL
171,Python
171,Tableau
172,TensorFlow
172,Python
172,RAG
173,NumPy
173,Excel
173,Feature Engineering
173,DAX
173,Model Monitoring
173,Git
174,Databricks
174,DAX
174,PowerBI
174,Excel
175,LLM
175,RAG
175,A/B Testing
175,Reinforcement Learning
176,PowerBI
176,SQL
176,Docker
176,Azure
177,A/B Testing
177,Airflow
177,Pandas
177,Excel
177,SHAP
178,Scala
178,LangChain
178,NumPy
178,ETL
178,Kubernetes
178,Hadoop
179,Tableau
179,LangChain
179,Pandas
179,Docker
179,A/B Testing
179,Data Warehousing
180,Data Warehousing
180,NumPy
180,Spark
180,TensorFlow
181,TensorFlow
181,Computer Vision
181,Time Series
181,Tableau
182,SQL
182,Python
182,Streamlit
182,RAG
183,Streamlit
183,Python
183,XGBoost
183,Airflow
184,Docker
184,Python
184,Statistics
184,Spark
184,Looker
184,Azure
185,Data Warehousing
185,Java
185,Scala
185,ETL
185,LangChain
186,SHAP
186,A/B Testing
186,Docker
186,C++
187,Excel
187,Hadoop
187,Scala
187,Azure
188,Statistics
188,Java
188,Python
188,XGBoost
188,Computer Vision
189,DAX
189,Kubernetes
189,Data Warehousing
189,XGBoost
189,Python
190,AWS
190,C++
190,Kubernetes
190,TensorFlow
190,Data Warehousing
190,Git
191,Kubernetes
191,Excel
191,TensorFlow
191,Docker
191,GCP
191,Reinforcement Learning
192,SQL
192,Excel
192,PyTorch
192,PowerBI
192,GCP
192,Scala
193,Computer Vision
193,AWS
193,Azure
193,LightGBM
193,Scikit-learn
193,Reinforcement Learning
194,AWS
194,MLOps
194,XGBoost
194,LangChain
195,Streamlit
195,Java
195,RAG
195,DAX
196,Spark
196,Azure
196,A/B Testing
196,LLM
197,A/B Testing
197,Docker
197,Pandas
197,Excel
197,Redshift
197,Scala
198,Java
198,Streamlit
198,LLM
198,Linux
198,Scikit-learn
198,Spark
199,Pandas
199,ETL
199,NLP
199,MLOps
200,Scikit-learn
200,GCP
