company_id,company_name,hq_country,employee_count_est,founded_year,glassdoor_rating
1,Orion Labs GmbH,Germany,28361,2004,2.6
2,Orion Labs Inc,India,14963,1998,2.8
3,Stellar Data LLP,Singapore,18273,1996,3.8
4,Green AI GmbH,France,45129,1980,4.6
5,Delta Tech LLP,India,26601,1986,3.0
6,Solar Dynamics GmbH,Australia,45344,2010,3.4
7,Green Solutions Inc,UAE,20383,1999,3.8
8,Arc Dynamics LLP,India,5546,2017,4.0
9,Zen Solutions Ltd,Australia,39836,1987,4.2
10,Blue Works Pvt Ltd,UAE,27396,2022,3.2
11,Magna Dynamics Pvt Ltd,India,209,2008,3.3
12,Green Tech LLP,India,44166,2007,4.6
13,Blue Solutions Pvt Ltd,UK,35637,1995,4.7
14,Vertex Labs Pvt Ltd,Netherlands,15590,1991,3.4
15,Sigma Networks Ltd,Netherlands,17497,2011,4.9
16,Zen Data Inc,UK,11404,2018,2.8
17,Magna Dynamics Ltd,USA,616,2005,4.5
18,Apex Labs GmbH,Canada,44946,2015,4.7
19,Delta Solutions Pvt Ltd,UK,40959,2002,3.8
20,Quantum Dynamics Inc,France,35437,1997,4.1
21,Delta Tech GmbH,Australia,16736,1983,2.6
22,Crest Works Corp,UK,29679,2005,4.5
23,Orion Networks Ltd,USA,9485,1986,4.1
24,Prime AI Corp,France,17250,1986,3.8
25,Sigma Data Pvt Ltd,UK,1603,1986,3.9
26,Blue Dynamics GmbH,France,26063,1992,2.8
27,Prime Works Corp,France,40061,2009,4.5
28,Magna Works LLP,USA,19049,2002,3.7
29,Crest Data Inc,Singapore,20833,2001,3.9
30,Rapid Tech Ltd,Canada,33403,1990,2.8
31,Nimbus AI Ltd,Netherlands,36522,1990,4.0
32,Green AI LLP,UAE,39551,1983,3.0
33,Fusion Works Inc,UAE,36200,1997,4.3
34,Solar Tech GmbH,Germany,41685,2016,2.5
35,Quantum Data GmbH,UK,40631,2001,2.7
36,Prime Systems LLP,Netherlands,10429,2011,2.9
37,Zen Labs Ltd,Australia,24432,2020,3.4
38,Arc Solutions Ltd,Australia,9314,2005,4.6
39,Quantum Labs LLP,Australia,324,1993,2.4
40,Rapid Tech GmbH,France,30395,1989,3.8
41,Alpha AI LLP,UK,36941,1996,2.5
42,Rapid Labs Pvt Ltd,Australia,47343,1989,3.3
43,Solar Analytics GmbH,France,38882,1999,3.1
44,Apex Works Corp,Germany,7371,1993,2.8
45,Stellar Works Corp,Singapore,15540,2013,3.6
46,Prime Solutions Pvt Ltd,Singapore,32665,2010,3.3
47,Nimbus Solutions Pvt Ltd,Netherlands,37442,1997,3.1
48,Nova Dynamics GmbH,Germany,35181,1990,3.9
49,Delta AI GmbH,Netherlands,2910,2001,3.0
50,Nimbus Labs GmbH,France,27540,1980,4.8
51,Sigma Analytics Corp,Singapore,30631,1988,3.0
52,Alpha Dynamics Corp,UAE,14160,2015,4.9
53,Quantum Dynamics Corp,Singapore,5111,2013,2.8
54,Apex Analytics LLP,Australia,40288,2006,4.8
55,Rapid Labs Ltd,UAE,12632,2014,2.6
56,Arc Solutions LLP,India,6013,2021,2.4
57,Apex Tech Inc,Canada,14380,2020,2.6
58,Magna Systems Inc,India,23669,2017,4.2
