employee_id,application_id,company_id,department,role_family,join_date,monthly_salary_lakhs,work_mode,manager_flag
1,53887,140,Data,Software Engineering,2025-02-18 13:50:43,3.849,Onsite,0
2,285866,34,Finance,Product Management,2020-06-08 13:27:52,0.68,Onsite,0
3,230246,173,Data,Software Engineering,2023-01-25 03:12:58,2.75,Onsite,0
4,108668,13,Product,MLOps,2022-06-17 21:14:36,2.736,Onsite,0
5,190027,150,HR,DevOps,2020-05-29 01:52:51,0.529,Onsite,0
6,190867,17,Marketing,Quality Assurance,2020-02-04 10:52:10,3.569,Hybrid,1
7,120035,137,Operations,MLOps,2019-05-31 14:07:44,1.624,Onsite,0
8,300922,134,Operations,MLOps,2024-09-17 12:14:32,2.759,Remote,0
9,156574,83,Support,Data Science,2025-09-07 21:42:03,0.604,Onsite,1
10,227778,89,Data,Business Analytics,2021-10-07 21:39:36,0.894,Hybrid,0
11,172820,147,IT,Machine Learning,2024-04-20 14:27:02,3.115,Onsite,0
12,318804,96,Sales,Data Engineering,2023-12-30 17:06:01,3.144,Remote,0
13,235150,109,Marketing,Software Engineering,2025-11-12 05:36:26,1.326,Onsite,0
14,23849,149,Product,DevOps,2023-04-12 10:24:48,0.417,Hybrid,0
15,194095,138,Product,Software Engineering,2019-05-18 02:07:17,1.464,Hybrid,0
16,360587,32,Engineering,MLOps,2024-08-04 06:42:14,1.747,Onsite,1
17,384815,61,HR,Product Management,2025-12-04 01:09:38,2.991,Onsite,0
18,39141,103,Support,Software Engineering,2019-02-18 18:37:50,2.139,Onsite,1
19,119261,91,Support,Software Engineering,2019-11-07 18:23:31,1.692,Hybrid,0
20,112264,19,HR,MLOps,2023-08-23 19:06:06,0.454,Hybrid,0
21,124476,126,IT,Software Engineering,2020-03-06 12:06:48,0.431,Hybrid,0
22,5773,52,Marketing,MLOps,2025-10-22 01:48:59,1.307,Onsite,0
23,205561,36,Marketing,MLOps,2022-06-18 06:24:15,1.016,Onsite,0
24,195123,165,Product,Quality Assurance,2024-08-16 11:35:40,0.621,Onsite,0
25,38699,81,IT,Cybersecurity,2024-09-27 16:06:11,1.849,Hybrid,0
26,219096,147,HR,Business Analytics,2020-12-18 07:24:42,3.654,Onsite,0
27,204312,146,Sales,MLOps,2020-09-20 01:43:20,1.207,Onsite,0
28,329434,174,Operations,MLOps,2020-01-21 11:51:55,3.836,Remote,0
29,213042,20,Support,Cybersecurity,2019-11-23 21:10:45,1.756,Remote,0
30,133243,188,Sales,Machine Learning,2022-09-02 02:56:02,2.217,Onsite,0
31,325205,127,Data,Software Engineering,2022-08-04 14:15:05,0.285,Onsite,0
32,376744,9,Sales,Product Management,2023-02-10 19:47:27,0.355,Remote,0
33,340304,184,Marketing,Product Management,2019-12-04 06:00:10,2.01,Onsite,0
34,151355,156,IT,Quality Assurance,2022-05-13 23:23:43,0.283,Hybrid,0
35,129978,183,Finance,MLOps,2022-12-19 19:02:46,3.037,Onsite,0
36,130124,90,HR,Cybersecurity,2023-07-05 23:50:31,3.538,Remote,0
37,37413,169,Data,Product Management,2019-08-20 11:58:46,0.784,Onsite,0
38,249395,101,Sales,Data Science,2023-11-07 06:50:10,2.587,Onsite,1
39,169402,51,Marketing,Cybersecurity,2021-01-14 20:10:54,1.459,Hybrid,0
40,15815,152,Finance,Machine Learning,2019-03-27 13:11:31,0.892,Onsite,0
41,354494,174,Operations,Data Engineering,2021-03-08 12:11:17,1.199,Onsite,0
42,237390,33,Product,Business Analytics,2024-03-04 22:06:44,2.221,Hybrid,0
43,329837,186,IT,DevOps,2023-09-01 09:08:35,2.787,Onsite,0
44,90026,106,Product,Business Analytics,2020-05-17 17:56:12,1.513,Hybrid,0
45,138600,68,Finance,MLOps,2022-04-02 23:54:10,1.221,Remote,0
46,58580,68,Product,Business Analytics,2024-07-23 19:52:20,0.479,Hybrid,0
47,390753,82,Data,Data Science,2024-04-25 19:13:23,1.44,Remote,0
48,208705,126,Support,Machine Learning,2026-01-06 21:27:48,1.006,Remote,0
