interview_id,application_id,round,score,outcome,interview_date
129126,329818,Screening,5.72,Offered,2019-01-20 00:26:09
48699,348978,Technical 2,2.94,Offered,2019-01-20 00:36:58
43405,344742,Screening,8.59,On Hold,2019-01-20 01:19:06
46674,297384,Technical 2,5.98,Rejected,2019-01-20 01:50:11
10559,4980,Screening,6.0,Rejected,2019-01-20 01:50:43
15198,229184,Technical 1,8.25,Rejected,2019-01-20 01:55:42
116939,99151,Technical 2,0.67,Rejected,2019-01-20 02:15:47
8167,248833,Screening,6.57,Advanced,2019-01-20 02:23:48
5396,109265,Managerial,6.25,Advanced,2019-01-20 03:04:38
162483,146822,Technical 1,1.9,Advanced,2019-01-20 03:12:07
181894,49512,Screening,3.03,Rejected,2019-01-20 03:58:22
51076,264349,Technical 2,2.99,Offered,2019-01-20 04:12:13
1993,198214,Managerial,0.65,Rejected,2019-01-20 04:17:40
144291,116451,Technical 2,4.12,Rejected,2019-01-20 04:20:56
30317,165587,Technical 1,2.6,Rejected,2019-01-20 04:22:35
67501,21577,Technical 2,1.42,Rejected,2019-01-20 04:58:20
44365,66645,Screening,0.02,Rejected,2019-01-20 05:58:37
13361,129328,Technical 1,3.37,Advanced,2019-01-20 06:38:34
97228,313680,HR,4.85,Rejected,2019-01-20 06:39:28
41052,163117,HR,1.62,Rejected,2019-01-20 07:00:42
130751,234706,Technical 2,8.53,Advanced,2019-01-20 07:12:23
24880,58529,Technical 1,9.6,Rejected,2019-01-20 07:30:41
22374,386035,Screening,2.95,Rejected,2019-01-20 07:33:15
44742,315731,Technical 1,7.04,On Hold,2019-01-20 07:37:37
103898,45367,Technical 1,6.33,Rejected,2019-01-20 07:54:26
34738,359993,Technical 2,0.13,Offered,2019-01-20 08:07:52
171239,310040,Technical 1,8.23,Rejected,2019-01-20 08:40:11
167732,22889,Screening,6.97,Rejected,2019-01-20 08:40:23
47064,78780,Technical 1,6.91,Rejected,2019-01-20 09:17:23
157587,279580,Screening,0.63,Rejected,2019-01-20 09:33:40
29233,44892,Technical 2,4.09,Rejected,2019-01-20 10:01:43
30301,104660,Screening,6.72,Advanced,2019-01-20 10:03:36
