job_id,company_id,job_function,level,location_city,location_country,mode,salary_min_lpa,salary_max_lpa,posted_date,job_title
1188,175,MLOps,Intern,Indore,India,Remote,13.1,33.6,2019-01-01 00:39:41,MLOps Intern
6232,162,Quality Assurance,Senior,Chennai,India,Onsite,15.5,30.4,2019-01-01 01:20:37,Quality Assurance Senior
6263,12,MLOps,Intern,Indore,India,Remote,17.4,25.0,2019-01-01 01:45:07,MLOps Intern
2442,177,Business Analytics,Mid,Gurugram,India,Onsite,31.1,45.8,2019-01-01 05:49:56,Business Analytics Mid
4100,175,Machine Learning,Intern,Kolkata,India,Onsite,27.6,48.6,2019-01-01 09:04:56,Machine Learning Intern
3316,119,Machine Learning,Mid,Kolkata,India,Onsite,6.0,31.1,2019-01-01 10:31:18,Machine Learning Mid
2197,161,MLOps,Mid,Jaipur,India,Hybrid,24.0,33.9,2019-01-01 10:38:36,MLOps Mid
6808,184,Data Engineering,Senior,Jaipur,India,Remote,32.8,49.5,2019-01-01 11:49:06,Data Engineering Senior
1000,53,DevOps,Junior,Gurugram,India,Hybrid,9.9,37.6,2019-01-02 02:09:04,DevOps Junior
2651,151,Data Science,Lead,Lucknow,India,Onsite,9.6,38.7,2019-01-02 10:10:36,Data Science Lead
9619,161,Data Engineering,Mid,Mumbai,India,Onsite,13.4,16.5,2019-01-02 10:22:09,Data Engineering Mid
6624,87,Data Engineering,Senior,Ahmedabad,India,Onsite,15.7,25.5,2019-01-02 11:11:30,Data Engineering Senior
3655,49,MLOps,Junior,Kolkata,India,Hybrid,18.6,36.400000000000006,2019-01-02 11:46:52,MLOps Junior
8579,146,Data Science,Mid,Bengaluru,India,Onsite,7.9,18.8,2019-01-02 18:59:40,Data Science Mid
2550,17,Software Engineering,Lead,Bengaluru,Global,Onsite,20.8,44.7,2019-01-02 23:25:21,Software Engineering Lead
7002,136,Business Analytics,Intern,Lucknow,India,Hybrid,17.1,31.8,2019-01-03 01:15:43,Business Analytics Intern
1183,83,MLOps,Mid,Gurugram,India,Onsite,12.8,30.7,2019-01-03 02:24:57,MLOps Mid
1462,89,Software Engineering,Mid,Lucknow,India,Hybrid,26.2,42.2,2019-01-03 02:33:13,Software Engineering Mid
1688,160,Machine Learning,Mid,Jaipur,India,Onsite,31.1,45.8,2019-01-03 03:35:43,Machine Learning Mid
8863,104,Business Analytics,Senior,Kochi,India,Hybrid,28.5,51.1,2019-01-03 03:42:43,Business Analytics Senior
172,33,Software Engineering,Intern,Pune,India,Remote,8.6,12.899999999999999,2019-01-03 12:38:36,Software Engineering Intern
6120,200,MLOps,Senior,Chennai,India,Onsite,32.6,39.7,2019-01-04 13:46:47,MLOps Senior
9448,6,Product Management,Mid,Jaipur,India,Hybrid,22.4,52.0,2019-01-04 23:07:21,Product Management Mid
3876,117,Business Analytics,Junior,Jaipur,India,Onsite,34.9,50.599999999999994,2019-01-05 06:51:39,Business Analytics Junior
7767,128,Business Analytics,Senior,Kochi,India,Onsite,11.7,13.799999999999999,2019-01-05 16:02:37,Business Analytics Senior
3030,161,Business Analytics,Lead,Ahmedabad,Global,Remote,38.4,51.3,2019-01-05 21:04:13,Business Analytics Lead
