offer_id,application_id,offered_ctc_lpa,joining_bonus_lakhs,status,offer_date,expected_joining_date
39425,88036,16.8,0.0,Accepted,2019-02-01 00:22:28,2019-07-05 02:21:19
35101,14498,14.0,0.0,Accepted,2019-02-01 00:24:37,2025-07-08 07:07:09
59285,51241,85.1,0.5,Declined,2019-02-01 00:27:06,2021-07-01 12:32:32
54243,90929,60.5,1.5,Accepted,2019-02-01 00:45:45,2021-04-06 07:28:17
1603,56430,53.9,0.0,Accepted,2019-02-01 01:01:55,2024-08-01 03:01:31
21073,374594,77.6,0.0,Accepted,2019-02-01 01:14:29,2022-09-10 08:52:32
59736,312846,72.5,0.0,Accepted,2019-02-01 01:46:34,2019-07-09 17:06:11
40276,247540,86.9,0.0,Accepted,2019-02-01 02:01:25,2025-07-21 08:04:57
11588,216552,63.2,0.0,Withdrawn,2019-02-01 02:47:00,2021-07-15 00:05:58
48049,22435,87.7,0.5,Accepted,2019-02-01 03:08:32,2023-08-06 10:47:08
17687,323882,82.3,0.5,Accepted,2019-02-01 03:27:22,2025-07-08 23:58:57
57576,178859,44.2,1.0,Withdrawn,2019-02-01 03:47:58,2020-07-18 10:17:54
34679,390852,57.0,0.0,Accepted,2019-02-01 04:20:46,2022-07-24 04:56:16
20063,155962,7.5,0.0,Declined,2019-02-01 09:37:04,2025-02-05 08:49:41
27542,335710,82.2,2.0,Accepted,2019-02-01 09:50:28,2020-12-06 06:12:30
29342,44209,88.1,1.5,Declined,2019-02-01 11:06:14,2020-08-01 13:02:02
33637,324660,22.0,0.0,Declined,2019-02-01 11:09:48,2023-11-27 23:55:38
23569,308382,43.0,0.5,Accepted,2019-02-01 16:14:14,2023-01-26 20:46:22
33851,60809,18.1,0.5,Accepted,2019-02-01 19:18:36,2020-02-07 04:05:21
51451,192455,10.1,1.5,Declined,2019-02-01 19:19:16,2021-10-23 17:32:57
36967,59216,56.4,0.0,Accepted,2019-02-01 21:08:51,2025-10-23 22:50:15
20370,144442,32.1,0.0,Withdrawn,2019-02-01 21:43:44,2025-03-09 07:10:41
50556,384427,44.3,0.5,Accepted,2019-02-01 21:54:12,2025-12-16 20:47:03
55505,925,82.3,2.0,Accepted,2019-02-01 22:43:00,2024-04-09 09:38:12
12866,229673,62.5,0.0,Accepted,2019-02-01 23:54:25,2021-03-04 09:15:11
20640,63995,81.1,0.5,Declined,2019-02-02 00:33:05,2025-03-10 16:10:51
18731,384127,19.7,0.0,Accepted,2019-02-02 03:29:41,2019-07-11 21:44:22
52209,28672,39.8,1.5,Declined,2019-02-02 04:10:37,2021-12-16 02:53:17
35621,144764,25.4,0.0,Declined,2019-02-02 04:37:08,2021-11-18 23:46:17
6684,265707,56.0,1.0,Accepted,2019-02-02 06:21:16,2022-09-23 13:29:56
36683,296465,89.2,0.0,Accepted,2019-02-02 06:58:48,2020-01-17 02:04:59
23953,233798,84.0,0.5,Expired,2019-02-02 07:30:11,2023-11-29 18:35:19
4975,269113,35.6,1.5,Declined,2019-02-02 07:35:59,2025-09-30 05:37:20
40879,269946,46.4,0.0,Declined,2019-02-02 08:23:42,2022-09-21 03:20:45
28991,98001,55.0,0.0,Declined,2019-02-02 10:08:56,2022-01-10 06:17:05
19545,19923,27.2,1.5,Accepted,2019-02-02 10:58:11,2025-01-23 09:16:17
16964,337955,49.5,0.0,Accepted,2019-02-02 11:36:51,2021-06-26 15:17:36
1367,4235,6.7,1.0,Accepted,2019-02-02 14:55:48,2020-08-16 20:30:22
11023,107912,60.4,0.0,Declined,2019-02-02 15:25:45,2020-01-05 20:46:44
17274,373703,87.4,0.5,Accepted,2019-02-02 18:27:34,2021-09-24 13:35:14
9976,123331,25.5,3.0,Accepted,2019-02-02 20:29:01,2019-10-06 06:46:18
31801,267343,87.6,0.0,Declined,2019-02-02 20:53:19,2025-03-27 05:25:22
39040,199095,51.2,0.0,Accepted,2019-02-02 21:02:33,2025-02-27 06:17:50
39890,157843,4.9,0.5,Declined,2019-02-02 21:59:14,2020-07-25 01:37:21
33717,102166,71.5,0.5,Accepted,2019-02-02 23:17:36,2024-09-16 10:59:02
42188,18479,53.6,0.5,Accepted,2019-02-02 23:28:42,2024-11-14 00:11:38
40559,10553,31.2,2.0,Declined,2019-02-03 00:16:20,2024-04-03 15:48:36
1190,231333,40.9,0.0,Accepted,2019-02-03 00:28:49,2021-01-05 00:10:52
58231,109312,71.0,0.5,Accepted,2019-02-03 00:47:17,2025-06-21 01:23:33
42216,354994,76.2,1.0,Accepted,2019-02-03 01:53:25,2021-10-25 15:52:42
13208,317747,55.3,0.0,Accepted,2019-02-03 02:16:02,2023-02-01 23:20:03
20728,142663,74.6,0.0,Declined,2019-02-03 02:32:03,2021-05-24 15:51:38
46576,316333,7.8,2.0,Declined,2019-02-03 03:50:50,2025-12-29 16:53:57
4738,22535,71.8,3.0,Declined,2019-02-03 03:51:06,2019-09-17 07:02:31
12421,36391,16.0,1.0,Accepted,2019-02-03 04:03:33,2023-07-19 09:56:06
59537,310582,47.1,0.0,Accepted,2019-02-03 04:42:14,2025-04-07 16:41:16
40940,27060,55.7,1.0,Accepted,2019-02-03 05:37:11,2020-09-02 19:51:23
50996,366509,10.1,1.0,Accepted,2019-02-03 07:34:53,2024-10-27 08:16:26
26337,46117,56.8,1.5,Declined,2019-02-03 07:56:20,2021-04-11 04:13:33
54394,128360,34.9,1.0,Accepted,2019-02-03 08:13:20,2021-10-15 04:30:34
