employee_id,review_period,rating,promotion_reco_score,kudos_received
1,2022-01-01,3,0.44,7
1,2023-07-01,4,0.2,8
1,2020-10-01,4,0.46,6
1,2022-07-01,3,0.39,8
1,2024-07-01,3,0.01,4
2,2025-04-01,5,0.45,14
2,2020-10-01,2,0.39,11
3,2024-04-01,3,0.95,4
3,2023-07-01,4,0.78,7
3,2023-04-01,4,0.21,6
3,2024-10-01,2,0.4,4
3,2025-01-01,4,0.43,5
4,2024-01-01,5,0.66,14
5,2023-04-01,5,0.08,6
5,2019-10-01,5,0.14,14
6,2020-07-01,5,0.08,4
7,2022-10-01,3,0.67,13
7,2025-10-01,3,0.24,1
8,2020-10-01,2,0.73,4
8,2024-10-01,2,0.21,8
9,2025-10-01,2,0.85,11
9,2023-04-01,1,0.49,5
9,2025-04-01,5,0.12,11
10,2021-07-01,3,0.7,12
10,2024-07-01,2,0.32,2
10,2023-04-01,2,0.41,9
10,2020-04-01,3,0.26,0
11,2020-07-01,1,0.48,10
11,2024-07-01,2,0.97,9
11,2019-07-01,5,0.26,6
12,2023-01-01,5,0.76,7
12,2021-10-01,4,0.43,3
12,2025-10-01,4,0.4,3
12,2021-01-01,4,0.41,13
13,2024-01-01,3,0.74,3
14,2024-07-01,3,0.64,11
14,2023-01-01,2,0.47,12
14,2019-10-01,2,0.25,2
14,2024-01-01,4,0.96,10
15,2021-07-01,4,0.5,9
16,2020-04-01,3,0.26,2
17,2020-04-01,5,0.72,14
17,2025-07-01,3,0.4,2
18,2025-10-01,4,0.17,6
18,2020-10-01,1,0.52,5
19,2021-10-01,4,1.0,3
19,2022-10-01,4,0.54,9
20,2020-07-01,3,0.13,12
20,2025-04-01,4,0.28,3
20,2022-04-01,3,0.33,11
20,2020-04-01,4,0.36,11
21,2020-04-01,3,0.67,8
21,2023-01-01,3,0.03,13
21,2023-04-01,4,0.91,5
21,2020-07-01,3,0.8,12
21,2025-04-01,1,0.49,13
22,2021-04-01,5,0.89,0
22,2024-01-01,2,0.45,11
22,2019-07-01,1,0.08,13
22,2020-01-01,4,0.03,13
22,2025-10-01,3,0.45,9
23,2021-10-01,3,0.04,8
23,2022-10-01,2,0.67,14
24,2025-04-01,3,0.09,5
24,2021-01-01,3,0.55,14
24,2025-01-01,2,0.37,5
25,2021-07-01,5,0.86,11
25,2022-07-01,5,0.89,11
25,2023-04-01,4,0.73,10
26,2025-04-01,3,0.67,7
26,2025-07-01,2,0.95,2
26,2020-07-01,4,0.33,3
26,2021-04-01,3,0.43,9
26,2025-10-01,5,0.69,4
27,2021-10-01,3,0.22,12
27,2025-04-01,4,0.23,2
27,2023-01-01,2,0.63,3
27,2020-04-01,3,0.31,11
28,2020-10-01,4,0.79,4
29,2023-10-01,3,0.3,7
29,2020-07-01,3,0.75,1
29,2022-01-01,5,0.33,11
30,2019-10-01,3,0.72,12
31,2019-10-01,4,0.62,0
31,2022-01-01,3,0.07,12
31,2020-07-01,3,0.13,7
31,2025-07-01,5,0.28,14
31,2024-04-01,4,0.08,14
32,2025-10-01,3,0.91,3
32,2019-07-01,3,0.59,11
33,2024-01-01,4,0.19,8
33,2021-01-01,4,0.2,11
34,2024-07-01,4,0.88,10
34,2025-01-01,5,0.26,13
34,2022-07-01,4,0.8,1
34,2021-01-01,3,0.48,5
35,2021-07-01,1,0.36,1
36,2025-01-01,2,0.96,5
36,2020-07-01,1,0.95,5
36,2023-10-01,3,0.56,3
36,2023-04-01,4,0.55,1
37,2020-01-01,2,0.13,9
38,2019-07-01,3,0.81,12
38,2021-10-01,1,0.83,2
39,2021-04-01,4,0.41,14
39,2025-07-01,3,0.1,1
40,2022-10-01,3,0.67,6
40,2021-10-01,3,0.58,2
41,2022-04-01,4,0.04,13
41,2023-10-01,1,0.39,5
42,2021-01-01,3,0.72,12
42,2024-01-01,4,0.91,11
42,2020-01-01,1,0.78,14
42,2025-10-01,4,0.99,2
42,2022-04-01,4,0.13,10
43,2020-04-01,3,0.5,11
43,2019-10-01,4,0.76,3
44,2022-10-01,3,1.0,5
44,2025-01-01,2,0.91,11
44,2025-07-01,4,0.25,12
44,2022-04-01,5,0.28,4
44,2025-04-01,5,0.78,11
45,2022-07-01,3,0.67,3
45,2022-04-01,2,0.13,5
45,2024-07-01,4,0.9,0
46,2021-01-01,1,0.24,11
46,2025-01-01,3,0.03,0
47,2020-07-01,4,0.83,4
47,2024-04-01,3,0.7,2
47,2021-10-01,3,0.23,1
47,2024-07-01,4,0.11,1
48,2025-07-01,5,0.0,7
49,2022-04-01,3,0.21,13
49,2020-04-01,3,0.56,14
50,2022-10-01,4,0.76,4
50,2025-01-01,5,0.39,1
51,2025-04-01,2,0.47,5
51,2022-10-01,1,0.53,7
51,2025-07-01,3,0.25,4
51,2020-04-01,3,0.54,11
52,2024-10-01,4,0.93,6
53,2023-07-01,3,0.24,9
53,2024-07-01,2,0.96,12
53,2024-10-01,2,0.65,11
53,2023-04-01,4,0.31,7
53,2025-10-01,3,0.56,4
54,2022-01-01,3,0.5,12
55,2022-04-01,3,0.64,3
55,2023-10-01,3,0.81,2
56,2021-07-01,4,0.68,0
56,2024-04-01,1,0.33,3
56,2022-10-01,2,0.12,8
56,2021-01-01,5,0.51,8
57,2022-10-01,5,0.99,1
57,2021-10-01,2,0.26,11
57,2025-10-01,3,0.03,1
57,2020-10-01,1,0.1,2
57,2021-01-01,2,0.73,4
58,2023-01-01,4,0.05,10
58,2024-07-01,4,0.63,13
58,2021-07-01,5,0.03,10
59,2020-04-01,5,0.98,7
60,2023-07-01,4,0.12,11
60,2020-01-01,5,0.03,11
61,2024-01-01,4,0.6,12
61,2022-10-01,4,0.4,8
61,2020-07-01,3,0.82,8
61,2019-10-01,3,0.26,0
61,2021-01-01,4,0.6,1
62,2022-04-01,4,0.99,11
62,2021-04-01,4,0.01,7
63,2023-10-01,3,0.64,12
63,2024-10-01,2,0.36,0
63,2020-07-01,4,0.26,0
63,2025-01-01,4,0.78,13
63,2019-10-01,3,0.84,7
64,2021-10-01,4,0.36,2
64,2021-07-01,5,0.93,13
64,2025-01-01,3,0.52,14
64,2021-04-01,3,0.6,12
64,2020-01-01,3,0.96,2
65,2019-07-01,3,0.09,5
65,2020-07-01,2,0.34,6
66,2020-07-01,3,0.37,10
66,2022-10-01,4,0.97,11
66,2023-07-01,2,0.06,10
66,2021-07-01,3,0.27,1
66,2022-07-01,4,0.15,11
67,2024-10-01,4,0.22,0
67,2023-01-01,5,0.78,1
67,2022-10-01,5,0.27,0
67,2022-07-01,1,0.79,3
67,2024-07-01,4,0.92,4
68,2020-04-01,2,0.75,7
68,2019-10-01,3,0.66,11
68,2025-10-01,4,0.98,11
68,2022-10-01,5,0.3,12
68,2023-10-01,4,0.83,1
69,2023-07-01,4,0.45,9
69,2021-04-01,2,0.07,10
69,2021-10-01,5,0.54,9
69,2019-10-01,4,0.27,7
70,2023-07-01,3,0.59,11
70,2020-04-01,4,0.63,4
70,2025-10-01,3,0.77,10
71,2023-01-01,2,0.34,7
71,2024-04-01,3,0.11,12
71,2019-07-01,4,0.12,13
72,2020-01-01,4,0.05,9
72,2025-04-01,1,0.63,11
72,2025-01-01,3,0.72,1
73,2022-01-01,2,0.62,13
73,2024-01-01,3,0.07,0
73,2022-07-01,4,0.1,14
74,2020-01-01,1,0.51,13
74,2019-07-01,4,0.6,12
74,2025-01-01,3,0.4,1
74,2025-04-01,4,0.26,1
74,2021-07-01,5,0.59,6
75,2024-10-01,4,0.69,10
75,2025-07-01,3,0.25,11
75,2021-07-01,3,0.21,7
75,2022-10-01,3,0.94,11
76,2023-01-01,4,0.87,10
76,2025-01-01,5,0.53,10
76,2020-07-01,3,0.76,13
76,2022-07-01,1,0.91,1
77,2025-10-01,3,0.85,10
77,2021-04-01,4,0.31,7
77,2021-10-01,4,0.74,8
77,2023-01-01,3,0.08,11
78,2025-07-01,2,0.21,1
78,2024-10-01,3,0.31,5
78,2020-01-01,5,0.11,14
78,2023-10-01,3,0.45,3
79,2022-01-01,4,0.04,12
80,2024-04-01,4,0.82,6
81,2024-10-01,3,0.36,13
82,2019-10-01,2,0.85,12
82,2022-04-01,5,0.71,6
82,2024-01-01,4,0.82,5
83,2021-10-01,3,0.05,11
83,2024-04-01,3,0.98,7
83,2020-10-01,4,0.41,13
84,2024-10-01,3,0.02,5
84,2022-04-01,3,0.34,7
85,2024-01-01,3,0.43,14
86,2023-10-01,5,0.86,6
86,2024-01-01,3,0.11,14
86,2024-04-01,4,0.44,8
87,2024-04-01,3,0.14,5
87,2024-10-01,5,0.24,8
87,2019-10-01,5,0.25,8
87,2019-07-01,4,0.15,10
88,2025-10-01,3,0.05,4
89,2020-04-01,4,0.81,0
90,2022-01-01,5,0.39,12
90,2025-07-01,3,0.68,12
90,2021-04-01,3,0.4,1
90,2021-01-01,3,0.28,14
91,2023-01-01,3,0.33,2
91,2025-10-01,5,0.63,8
91,2020-04-01,3,0.97,5
91,2021-10-01,4,0.92,0
91,2022-10-01,4,0.39,11
92,2025-07-01,3,0.66,14
92,2021-01-01,4,0.13,7
92,2024-01-01,2,0.64,6
92,2024-07-01,5,0.93,10
92,2019-10-01,3,0.54,0
93,2025-04-01,5,0.88,13
94,2021-01-01,5,0.6,3
94,2019-10-01,2,0.28,3
94,2022-07-01,4,0.19,12
94,2022-01-01,4,0.39,0
94,2023-07-01,4,0.36,9
95,2025-01-01,2,0.51,0
96,2022-04-01,3,0.89,3
96,2024-10-01,2,0.58,0
96,2020-10-01,2,0.24,13
97,2021-10-01,2,0.24,3
97,2019-07-01,1,0.01,2
97,2022-04-01,3,0.13,10
97,2019-10-01,5,0.65,13
97,2025-04-01,1,0.35,13
98,2025-07-01,2,0.01,14
98,2023-01-01,5,0.49,7
98,2024-04-01,3,0.35,10
98,2019-10-01,4,0.86,11
99,2022-10-01,3,0.83,4
99,2020-07-01,3,0.11,14
100,2025-07-01,3,0.38,1
100,2024-10-01,5,0.64,7
101,2022-07-01,3,0.28,8
101,2022-01-01,5,0.98,11
101,2021-07-01,4,0.11,11
101,2023-07-01,3,0.07,14
101,2023-10-01,4,0.38,14
102,2022-04-01,5,0.68,3
102,2025-07-01,5,0.13,6
102,2021-01-01,4,0.56,1
102,2021-10-01,5,0.98,1
103,2024-01-01,1,0.79,14
103,2021-04-01,4,0.27,5
103,2025-07-01,3,0.4,12
103,2022-10-01,5,0.71,8
104,2021-04-01,3,0.67,2
104,2025-04-01,3,0.07,11
104,2022-04-01,4,0.79,3
104,2019-07-01,4,0.06,9
104,2020-10-01,3,0.36,1
105,2020-01-01,3,0.94,13
105,2025-10-01,2,0.55,12
106,2022-07-01,5,0.67,4
106,2019-10-01,4,0.93,3
106,2023-07-01,1,0.44,13
106,2023-04-01,4,0.78,12
107,2023-07-01,4,0.44,1
107,2021-10-01,4,0.67,7
107,2025-01-01,3,0.57,8
107,2020-04-01,5,0.28,0
107,2025-10-01,4,0.3,8
108,2023-10-01,3,0.9,11
108,2022-10-01,4,0.54,7
108,2023-04-01,2,0.98,0
109,2024-01-01,4,0.55,14
109,2023-07-01,5,0.67,10
110,2022-10-01,5,0.04,4
110,2023-01-01,3,0.89,7
110,2023-07-01,3,0.05,5
110,2020-10-01,4,0.32,0
110,2020-07-01,5,0.68,10
111,2023-07-01,3,0.6,11
111,2022-07-01,2,0.57,6
111,2022-01-01,4,0.45,11
112,2025-01-01,4,0.69,12
112,2025-07-01,3,0.21,7
113,2025-07-01,4,0.64,8
113,2023-10-01,3,0.73,1
113,2020-07-01,4,0.05,11
113,2021-10-01,4,0.49,9
114,2021-01-01,4,0.22,3
115,2025-01-01,4,0.03,8
115,2023-10-01,2,0.2,11
115,2020-01-01,3,0.0,3
116,2023-10-01,3,0.89,9
117,2024-10-01,2,0.92,10
118,2023-10-01,1,0.76,2
118,2022-10-01,4,0.04,12
118,2020-04-01,3,0.51,9
118,2025-04-01,3,0.19,6
119,2024-04-01,4,0.4,14
119,2021-04-01,4,0.07,6
120,2024-07-01,3,0.86,3
120,2019-07-01,2,0.52,6
121,2022-04-01,3,0.39,8
121,2020-10-01,4,0.01,13
122,2020-04-01,2,0.67,0
122,2024-04-01,3,0.6,11
122,2022-04-01,1,0.43,7
122,2022-10-01,1,0.71,5
122,2024-01-01,2,0.91,7
123,2021-01-01,5,0.73,2
123,2021-04-01,5,0.01,11
123,2022-01-01,3,0.34,9
123,2021-07-01,3,0.31,0
123,2023-07-01,3,0.83,14
